id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,,Santa Teresa,-22.92742,-43.19464,Private room,170,1,217,2022-09-17,1.68,6,344,2,
660987084857075677,"Casa próximo ao centro, shopping e faculdade.",466988472,Valdilea,,Jardim América,-22.7911786,-43.3246028,Entire home/apt,180,3,0,,,1,252,0,
77318,❤Unique RIO | retreat w/ forest view in hot spot,110002,Silvia,,Gávea,-22.97766,-43.2311,Entire home/apt,184,5,37,2021-04-30,0.32,1,0,0,
12265728,Almost the Fasano Hotel,10519298,Maria Lúcia,,Ipanema,-22.98879,-43.1931,Entire home/apt,170,2,40,2022-08-11,0.51,1,271,10,
22155537,Pousada La Belle (Rodoviária Itaguai),161804188,Pousada,,Santa Cruz,-22.8701,-43.76917,Private room,175,1,7,2021-08-13,0.15,1,360,0,
7220985,Ipanema Residence with ocean view!,31314269,Fernando,,Ipanema,-22.9884,-43.19582,Entire home/apt,312,1,212,2022-09-12,2.59,2,332,28,
3496498,"Copacabana,Wonderful!Near Beach!",17604529,Ramildo,,Ipanema,-22.99147,-43.19407,Entire home/apt,298,3,177,2022-09-12,1.77,1,244,4,
85807,Ipanema Copa Flat,470565,Sebastian,,Ipanema,-22.98552,-43.19432,Entire home/apt,149,2,4,2020-10-12,0.12,5,0,0,
1085939,Beautifully Renovated Penthouse,5969251,Alexandre,,Barra da Tijuca,-23.01732,-43.29887,Entire home/apt,950,2,3,2022-01-04,0.23,1,306,2,
86670,FRONTEIRA LEBLON/IPANEMA - VISTA FANTÁSTICA,474221,June,,Leblon,-22.98361,-43.21827,Entire home/apt,345,2,103,2022-05-23,0.76,6,4,17,
86864,Apartamento Moderno e confortavel,476162,Simone,,Copacabana,-22.98174,-43.19039,Entire home/apt,120,5,22,2022-09-14,1.62,6,273,19,
86978,Room For a Rent : Rio de Janeiro,476838,Antonio,,Jacarepaguá,-22.97293,-43.38321,Private room,773,1,0,,,1,365,0,
2370166,2BDR IPANEMA EXPERiENCE,12109497,Rosiris,,Ipanema,-22.9887,-43.19311,Entire home/apt,440,7,7,2020-02-29,0.07,1,145,0,
53480828,casa agradável com pátio,433027042,Aneida,,Pavuna,-22.79633,-43.35148,Entire home/apt,150,1,0,,,1,364,0,
11174621,condo fco ota 307,4307081,Nereu A,,Ipanema,-22.98866,-43.19368,Entire home/apt,619,1,0,,,55,365,0,
87762,Loft à 1 quadra da praia de Ipanema/Leblon,480527,Pablo,,Ipanema,-22.98339,-43.21436,Entire home/apt,173,2,54,2022-09-09,0.88,2,320,32,
8400132,"Sua casa em Ipanema! Posto 9, de frente ao mar!",13342642,Heloísa,,Ipanema,-22.98731,-43.20622,Entire home/apt,516,2,56,2022-09-20,0.67,1,1,16,
88528,COPACABANA - Lindo apartamento na quadra da praia,474221,June,,Copacabana,-22.97794,-43.18969,Entire home/apt,265,2,73,2022-01-03,0.55,6,39,7,
88781,COPACABANA - ÓTIMA LOCALIZAÇÃO,474221,June,,Copacabana,-22.97456,-43.18807,Entire home/apt,196,2,71,2022-08-08,0.60,6,9,15,
11344078,OLYMPICS! Great location!,59388693,Lella,,São Conrado,-23.00024,-43.26488,Entire home/apt,6459,7,0,,,1,362,0,
89862,COPACABANA - No melhor lugar,474221,June,,Copacabana,-22.97607,-43.18926,Entire home/apt,299,2,49,2022-09-05,0.41,6,5,4,
49244916,Apartamento frente mar para a praia de Ipanema e pedra do Arpoador.,8975746,Line Rio,,Ipanema,-22.98829,-43.19497,Entire home/apt,3186,1,2,2022-08-15,0.25,73,149,2,
31779502,Vidiga Ocean View,34609976,Neusa,,Vidigal,-22.9986,-43.23909,Entire home/apt,259,1,44,2022-09-11,0.99,4,270,19,
49246001,Apartamento frente mar para a praia de Ipanema e pedra do Arpoador.,8975746,Line Rio,,Ipanema,-22.98873,-43.19334,Entire home/apt,5900,1,0,,,73,149,0,
13605170,Great Accommodation at Praia de Botafogo,16539143,Marcia,,Urca,-22.94827,-43.18026,Entire home/apt,109,4,63,2022-04-29,0.84,1,56,11,
89893,Exotic place in Rio de Janeiro.,483023,Geny,,Laranjeiras,-22.94124,-43.19214,Private room,464,1,0,,,1,365,0,
89981,IPANEMA  QUARTO + BANHEIRO PRIVADO,488707,Celia,,Ipanema,-22.98088,-43.20042,Private room,206,3,167,2020-02-27,1.28,1,3,0,
700736773906245772,Casa Marambaia 3,224299942,Bruno,,Barra de Guaratiba,-23.064820079193666,-43.5680517573451,Entire home/apt,1314,1,0,,,4,180,0,
94895,Quarto iluminado com bancada em Copacabana,506187,Sheila,,Copacabana,-22.97256,-43.18948,Private room,110,2,9,2022-09-05,0.11,3,358,2,
16380608,O charme de Copacabana,21822222,Maria,,Copacabana,-22.9778,-43.18717,Entire home/apt,250,3,123,2022-09-05,1.75,1,350,24,
2493653,Stylish 2 bedroom-Driver INCLUDED!,6996992,Ana,,São Conrado,-23.00046,-43.26531,Entire home/apt,1292,5,0,,,1,144,0,
96431,Amazing ocean view !,511850,Marina E Ernani,,Barra da Tijuca,-23.01124,-43.37081,Entire home/apt,400,4,54,2022-09-06,0.47,2,298,3,
41146602,CASA AC FUTEBOL PISCINA SAUNA CHURR E PIZZA LENHA,61261365,Eduardo,,Campo Grande,-22.83483,-43.60315,Entire home/apt,1000,7,0,,,1,83,0,
97636,Rio de Janeiro for you! Go for it!,496656,Marcia  Longras,,Botafogo,-22.94169,-43.18703,Private room,477,8,18,2021-12-15,0.14,10,356,1,
98969,Quartos na praia mais linda do Rio,521613,Cyro,,Recreio dos Bandeirantes,-23.03154,-43.47437,Private room,95,2,20,2022-09-13,0.15,1,157,16,
52320949,ESPETACULAR 3 quartos frente praia COPACABANA 6,406354831,Sheila,,Copacabana,-22.98362,-43.18892,Entire home/apt,572,3,10,2022-08-28,0.92,8,53,10,
251701,LEBLON BEACHFRONT VILLA APT.2,1319991,Jake,,Vidigal,-22.99037,-43.23115,Entire home/apt,517,7,27,2019-11-13,0.20,11,365,0,
600010293079971360,Amazing 180 ° of Ocean View all the way to Pontal!,53861325,Cirla,,Barra da Tijuca,-23.01156,-43.33506,Entire home/apt,413,3,10,2022-09-11,1.99,3,234,10,
251868,Great & comfy studio Copa!,1321287,Helena,,Copacabana,-22.9792,-43.1901,Entire home/apt,120,4,85,2022-03-01,0.65,2,76,2,
256323,Garden Studio - Home away from Home,1348172,Jennifer,,Santa Teresa,-22.91742,-43.1833,Entire home/apt,195,3,209,2022-09-13,1.64,1,56,19,
99547,Lapa Archs | Santa Teresa best studio for 2 people,524101,Fabiana,,Santa Teresa,-22.914912307646237,-43.18295625550999,Entire home/apt,145,3,62,2022-01-17,0.53,3,235,1,
2361688,"BARRA BEACH, PRAIA DO PEPÊ",12061033,Carlys,,Barra da Tijuca,-23.01537,-43.31325,Entire home/apt,328,3,7,2022-03-18,0.07,3,57,3,
99971,Right in front of the beach in Rio!,525976,Ricardo,,Leblon,-22.98812,-43.22897,Entire home/apt,289,3,125,2022-07-03,0.92,1,189,18,
257618,"Great Dbl Bed/Pvt Bath, Leme, 1 min from the Sea",1355685,Jorge,,Leme,-22.96102,-43.16858,Private room,204,2,41,2022-09-09,0.31,2,129,2,
14077054,Sun Drive 406 - Barra da Tijuca,4005407,Erika,,Barra da Tijuca,-23.01628,-43.378,Entire home/apt,670,2,1,2016-08-07,0.01,29,364,0,
262466,APTO BOTAFOGO - BEM LOCALIZADO,1377161,Ana Cristina,,Botafogo,-22.95508,-43.18251,Entire home/apt,250,1,3,2016-01-05,0.03,1,174,0,
103053,santa teresa bairro fatima lapa,533278,Kaka,,Santo Cristo,-22.90559,-43.20979,Private room,361,1,0,,,1,0,0,
14153420,Casa de luxo para olimpíada na cidade maravilhosa,85530884,Marcelo,,Gericinó,-22.80827,-43.46676,Entire home/apt,982,1,1,2016-08-21,0.01,1,89,0,
106372,Carnaval & Rock in Rio !!!,551316,Katia,,Barra da Tijuca,-23.00744,-43.43045,Entire home/apt,1000,4,9,2022-09-11,0.12,1,362,2,
107469,Quarto confortável com vista panorâmica,556738,Casa Da Carmen E,,Santa Teresa,-22.91889,-43.18038,Private room,54,60,2,2018-12-21,0.02,5,264,0,
264816,Duplex in BARRA  w/private large balcony,259815,Valerie & Alex,,Barra da Tijuca,-23.00291,-43.39086,Entire home/apt,269,28,39,2022-05-24,0.31,2,96,4,
265072,New Apartment near Copacabana Beach,829630,Luciana,,Copacabana,-22.96554,-43.17655,Entire home/apt,122,2,104,2022-09-17,0.80,3,29,27,
620918384418242429,Casarão histórico em frente à praia dos Tamoios,115921539,Nath,,Paquetá,-22.75994,-43.10731,Entire home/apt,679,2,4,2022-08-28,1.26,1,264,4,
265752,Jacuzzi 2 min. walk CopacaBeach 4 BR - 3 bath #201,132230,Pierre,,Copacabana,-22.9813,-43.19217,Entire home/apt,361,7,46,2022-09-08,0.35,2,75,1,
271975,Unbelievable Ocean View Apartment,1423140,Maria,,Vidigal,-22.99508,-43.23604,Entire home/apt,236,1,8,2019-12-02,0.07,1,362,0,
108072,Nice 1 BR Apartment in Copacabana,521514,Chris,,Copacabana,-22.98314,-43.19086,Entire home/apt,206,3,153,2022-09-03,1.11,1,338,4,
108882,Gloria Sunshine Apartment in Rio,475926,Angelica/ Fca,,Glória,-22.91972,-43.1789,Entire home/apt,204,3,58,2021-09-13,0.42,1,0,0,
109747,Ipanema WOW!  for 6+2,554897,Jane,,Ipanema,-22.98697,-43.19751,Entire home/apt,1650,7,186,2022-09-18,1.43,1,303,26,
39885069,Cobertura duplex com vista para o mar,110857735,Guilherme,,Paquetá,-22.76151,-43.10711,Entire home/apt,205,2,17,2022-06-06,0.52,2,353,8,
118355,HOUSE IN GARDEN,523251,Humberto,,Itanhangá,-22.98752,-43.31505,Entire home/apt,2168,1,10,2022-04-25,0.22,5,180,6,
272335,EXCELLENT APARTMENT IN COPACABANA!!,7506316,Vitor,,Copacabana,-22.9623,-43.17389,Entire home/apt,132,3,239,2022-09-20,1.82,1,294,25,
2449336,Lindo Apartamento,12524392,Deusa,,Freguesia (Ilha),-22.79113,-43.16567,Entire home/apt,1292,1,0,,,1,365,0,
272631,Comfort em Copacabana,1426830,Neyde,,Copacabana,-22.9675,-43.18666,Private room,139,2,26,2022-09-13,0.26,3,336,4,
273261,Amazing Huge Apartment in Leblon,533566,Lucas,,Leblon,-22.98632,-43.22936,Entire home/apt,5155,2,0,,,1,365,0,
125656,"Copacabana Studio -  5* Reviews, 5 mins to Beach",624433,Alan & Catherine,,Copacabana,-22.9696,-43.1887,Entire home/apt,281,3,89,2022-09-11,0.65,1,300,4,
127018,Alugo quarto na Gávea com ar condicionado,629505,Eliane,,Gávea,-22.98114,-43.23899,Private room,110,2,7,2022-08-18,0.05,2,335,2,
43504681,Apartamento no melhor Hotel de Duque de Caxias-RJ,69959784,Luiz,,Cordovil,-22.78939,-43.28463,Private room,280,1,4,2021-10-24,0.17,1,356,1,
